"Name_game","Publisher","Genre","Year_release","Score"
"Destroy All Humans! Path of the Furon","Unknown","Action",2020,5
"Ridge Racer 2","Unknown","Racing",2020,7.5
"Assassin's Creed III Remastered","Ubisoft","Action-Adventure",2019,8
"Fitness Boxing","Nintendo","Music",2019,7
"Mages of Mystralia","Borealys Games","Action-Adventure",2019,7
"Metro Exodus","Deep Silver","Shooter",2019,8.5
"Tangledeep","Impact Gameworks","Role-Playing",2019,9.7
"The Book of Unwritten Tales 2","THQ Nordic","Adventure",2019,8.5
"The Council","Bigben Interactive","Adventure",2019,9
"Travis Strikes Again: No More Heroes","Grasshopper Manufacture Inc.","Action",2019,8
"Yoshi's Crafted World","Nintendo","Platform",2019,7.8
"A Way Out","Electronic Arts","Action",2018,8.1
"Age of Empires: Definitive Edition","Microsoft Studios","Strategy",2018,7
"Agony","Maximum Games","Action-Adventure",2018,5
"Antventor","LoopyMood","Adventure",2018,8.5
"Assassin's Creed Odyssey","Ubisoft","Action-Adventure",2018,9.5
"Assassin's Creed Rogue Remastered","Ubisoft","Action-Adventure",2018,6
"Asterix and Obelix XXL2","Microids","Action-Adventure",2018,6.5
"Astro Bot Rescue Mission","Sony Interactive Entertainment","Platform",2018,8.5
"Attack on Titan 2","Koei Tecmo","Action",2018,7.8
"Blade Strangers","Nicalis","Fighting",2018,8.3
"BlazBlue: Cross Tag Battle","Arc System Works","Fighting",2018,8
"Bleed 2","Digerati","Action",2018,8.6
"Brawlout","Merge Games","Fighting",2018,6.2
"Burnout Paradise Remastered","Electronic Arts","Racing",2018,8
"Celeste","Matt Makes Games Inc.","Platform",2018,9.3
"Code of Princess EX","Nicalis","Action",2018,7.2
"Dark Souls: Remastered","Bandai Namco Entertainment","Role-Playing",2018,8.8
"Dead Cells","Merge Games","Action",2018,9.3
"Defoliation","Cosen","Puzzle",2018,5
"Detective Pikachu","Nintendo","Adventure",2018,7.1
"Detroit: Become Human","Sony Interactive Entertainment","Adventure",2018,8
"Diablo III: Eternal Collection","Blizzard Entertainment","Action",2018,9
"Dillon's Dead-Heat Breakers","Nintendo","Action",2018,7
"Disc Jam","High Horse Entertainment","Sports",2018,4.9
"Disgaea 1 Complete","NIS America","Role-Playing",2018,8
"Dragon Ball FighterZ","Bandai Namco Entertainment","Fighting",2018,9
"Dragon Quest XI: Echoes of an Elusive Age","Square Enix","Role-Playing",2018,10
"Earth Defense Force 5","D3 Publisher","Shooter",2018,6.5
"Enigmatis 3: The Shadow Of Karkhala","Big Fish Games","Puzzle",2018,9
"Everspace","Badland Games","Shooter",2018,9
"Extinction","Maximum Games","Action",2018,6.9
"Fallen Legion: Rise to Glory","NIS America","Role-Playing",2018,7
"Fallout 76","Bethesda Softworks","Role-Playing",2018,5.1
"Far Cry 5","Ubisoft","Action",2018,7.9
"FIFA 19","Electronic Arts","Sports",2018,5.9
"Flipping Death","Rising Star","Adventure",2018,7.5
"Floor Kids","MERJ Media","Sports",2018,9
"Fortnite","Warner Bros. Interactive Entertainment","Shooter",2018,8.5
"Forza Horizon 4","Microsoft Studios","Racing",2018,10
"FOX n FORESTS","EuroVideo Medien","Platform",2018,9.5
"Gal Metal!","Xseed Games","Music",2018,7
"God of War (2018)","Sony Interactive Entertainment","Action",2018,9.7
"Happy Birthdays","NIS America","Misc",2018,8.5
"Hellblade: Senua's Sacrifice","505 Games","Action-Adventure",2018,8.3
"Hotel Transylvania 3: Monsters Overboard","Outright Games","Action-Adventure",2018,6.5
"Hyrule Warriors: Definitive Edition","Nintendo","Action",2018,8
"Iconoclasts","Bifrost Entertainment","Action-Adventure",2018,9.5
"InnerSpace","Aspyr Media, Inc.","Adventure",2018,6.5
"Katamari Damacy Reroll","Bandai Namco Entertainment","Action",2018,8.8
"Kirby Star Allies","Nintendo","Platform",2018,9.05
"Kirby: Battle Royale","Nintendo","Fighting",2018,6
"Legend of Kay Anniversary","THQ Nordic","Action-Adventure",2018,6.5
"LEGO DC Super-Villains","Warner Bros. Interactive Entertainment","Action-Adventure",2018,7.8
"LEGO The Incredibles","Warner Bros. Interactive Entertainment","Action",2018,6.5
"Little Dragons Café","Aksys Games","Simulation",2018,7
"Lost Sphear","Square Enix","Role-Playing",2018,6.5
"Luigi's Mansion","Nintendo","Adventure",2018,7.3
"Mario Tennis Aces","Nintendo","Sports",2018,7.8
"Marvel's Spider-Man","Sony Interactive Entertainment","Action-Adventure",2018,9.1
"Mega Man 11","Capcom","Platform",2018,8
"Mega Man Legacy Collection 1+2","Capcom","Platform",2018,8.5
"Meow Motors","ArtVostok","Racing",2018,7
"Minecraft","Mojang","Sandbox",2018,9.2
"Monster Boy and the Cursed Kingdom","FDG Entertainment","Action-Adventure",2018,8.75
"Monster Hunter Generations Ultimate","Capcom","Action",2018,7.7
"Monster Hunter: World","Capcom","Action",2018,9.2
"Moonlighter","Merge Games","Role-Playing",2018,9
"Moss","Perp Games","Adventure",2018,9
"Mulaka","Lienzo","Action-Adventure",2018,7.6
"Musynx","PM Studios","Music",2018,7.5
"Namco Museum Arcade Pac","Bandai Namco Entertainment","Misc",2018,7.8
