"Rank","Name","Platform","Year","Publisher","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
4,"PlayerUnknown's Battlegrounds","PC",2017,"PUBG Corporation","Shooter",NA,NA,NA,NA,NA
36,"Mario Kart 8 Deluxe","NS",2017,"Nintendo","Racing",NA,NA,NA,NA,NA
49,"Super Mario Odyssey","NS",2017,"Nintendo","Platform",NA,NA,NA,NA,NA
51,"Call of Duty: WWII","PS4",2017,"Activision","Shooter",4.67,6.21,0.4,2.12,13.4
69,"FIFA 18","PS4",2017,"EA Sports","Sports",1.27,8.64,0.15,1.73,11.8
72,"The Legend of Zelda: Breath of the Wild","NS",2017,"Nintendo","Action-Adventure",NA,NA,NA,NA,NA
85,"Horizon: Zero Dawn","PS4",2017,"Sony Interactive Entertainment","Action",NA,NA,NA,NA,NA
117,"Pokemon: Ultra Sun and Ultra Moon","3DS",2017,"Nintendo","Role-Playing",NA,NA,NA,NA,NA
118,"Splatoon 2","NS",2017,"Nintendo","Shooter",NA,NA,NA,NA,NA
173,"Call of Duty: WWII","XOne",2017,"Activision","Shooter",3.75,1.91,NA,0.57,6.23
274,"Crash Bandicoot N. Sane Trilogy","PS4",2017,"Activision","Platform",1.09,2.92,0.07,0.74,4.83
301,"Star Wars Battlefront II (2017)","PS4",2017,"Electronic Arts","Shooter",1.7,1.99,0.12,0.73,4.53
353,"Destiny 2","PS4",2017,"Activision","Shooter",1.92,1.44,0.1,0.69,4.14
362,"Assassin's Creed Origins","PS4",2017,"Ubisoft","Action",1.22,2.11,0.11,0.63,4.06
399,"Resident Evil VII: Biohazard","PS4",2017,"Capcom","Action",NA,NA,NA,NA,NA
401,"Gran Turismo Sport","PS4",2017,"Sony Interactive Entertainment","Racing",0.63,2.35,0.24,0.54,3.77
485,"NBA 2K18","PS4",2017,"2K Sports","Sports",2.13,0.57,0.04,0.59,3.34
526,"FIFA 18","XOne",2017,"EA Sports","Sports",0.98,1.92,NA,0.23,3.14
534,"Tom Clancy's Ghost Recon Wildlands","PS4",2017,"Ubisoft","Shooter",1.07,1.35,0.22,0.47,3.12
583,"Yokai Watch 2: Psychic Specters","3DS",2017,"Nintendo","Role-Playing",0.12,0.12,2.69,0.02,2.95
608,"1-2-Switch","NS",2017,"Nintendo","Party",NA,NA,NA,NA,NA
692,"Madden NFL 18","PS4",2017,"EA Sports","Sports",1.73,0.42,NA,0.47,2.62
702,"Mario + Rabbids: Kingdom Battle","NS",2017,"Ubisoft","Strategy",1.1,1.08,0.22,0.2,2.59
748,"Assassin's Creed Origins","XOne",2017,"Ubisoft","Action",1.34,0.92,NA,0.22,2.47
804,"Uncharted: The Lost Legacy","PS4",2017,"Sony Interactive Entertainment","Action",0.58,1.38,0.04,0.36,2.37
809,"Destiny 2","XOne",2017,"Activision","Shooter",1.66,0.47,NA,0.23,2.35
897,"Need for Speed: Payback","PS4",2017,"Electronic Arts","Racing",0.62,1.18,0.04,0.34,2.18
906,"PlayerUnknown's Battlegrounds","XOne",2017,"Microsoft Studios","Shooter",1.29,0.69,NA,0.2,2.17
938,"ARMS","NS",2017,"Nintendo","Fighting",NA,NA,NA,NA,NA
981,"Middle-Earth: Shadow of War","PS4",2017,"Warner Bros. Interactive Entertainment","Action",0.82,0.84,0.06,0.33,2.04
1002,"NBA 2K18","XOne",2017,"2K Sports","Sports",1.67,0.14,NA,0.21,2.02
1070,"Star Wars Battlefront II (2017)","XOne",2017,"Electronic Arts","Shooter",1.15,0.59,NA,0.17,1.92
1077,"Madden NFL 18","XOne",2017,"EA Sports","Sports",1.63,0.07,NA,0.2,1.91
1101,"The Long Dark","PC",2017,"Hinterland Studio Inc.","Simulation",NA,NA,NA,NA,NA
1135,"Dragon Quest XI","3DS",2017,"Square Enix","Role-Playing",NA,NA,1.82,NA,1.82
1153,"Monster Hunter Double Cross","3DS",2017,"Capcom","Action",NA,NA,NA,NA,NA
1197,"For Honor","PS4",2017,"Ubisoft","Action",0.73,0.66,0.07,0.28,1.75
1211,"Cuphead","PC",2017,"Studio MDHR","Action",NA,NA,NA,NA,NA
1228,"Injustice 2","PS4",2017,"Warner Bros. Interactive Entertainment","Fighting",0.88,0.54,NA,0.29,1.72
1279,"Tekken 7","PS4",2017,"Namco Bandai Games","Fighting",NA,NA,NA,NA,NA
1315,"Persona 5","PS4",2017,"Atlus","Role-Playing",0.62,0.34,0.48,0.2,1.64
1341,"The Legend of Zelda: Breath of the Wild","WiiU",2017,"Nintendo","Action-Adventure",NA,NA,NA,NA,NA
1345,"Tom Clancy's Ghost Recon Wildlands","XOne",2017,"Ubisoft","Shooter",0.98,0.48,NA,0.15,1.61
1427,"Xenoblade Chronicles 2","NS",2017,"Nintendo","Role-Playing",NA,NA,NA,NA,NA
1446,"Forza Motorsport 7","XOne",2017,"Microsoft Studios","Racing",0.58,0.81,0.01,0.12,1.52
1475,"ARK: Survival Evolved","XOne",2017,"Studio Wildcard","Action-Adventure",NA,NA,NA,NA,NA
1480,"NieR: Automata","PS4",2017,"Square Enix","Role-Playing",NA,NA,NA,NA,NA
1492,"Mass Effect: Andromeda","PS4",2017,"Electronic Arts","Role-Playing",0.58,0.67,NA,0.25,1.49
1583,"South Park: The Fractured But Whole","PS4",2017,"Ubisoft","Role-Playing",0.62,0.57,NA,0.24,1.43
1631,"The Sims 4","PS4",2017,"Electronic Arts","Simulation",0.44,0.72,0.01,0.22,1.39
1676,"Wolfenstein II: The New Colossus","PS4",2017,"Bethesda Softworks","Shooter",0.55,0.58,0.01,0.22,1.36
1718,"WWE 2K18","PS4",2017,"2K Sports","Sports",0.45,0.67,NA,0.22,1.33
1906,"Slime Rancher","PC",2017,"Monomi Park","Simulation",NA,NA,NA,NA,NA
1994,"NieR: Automata","PC",2017,"Square Enix","Role-Playing",NA,NA,NA,NA,NA
2012,"MLB The Show 17","PS4",2017,"Sony Interactive Entertainment","Sports",0.94,NA,NA,0.22,1.16
2018,"Pokken Tournament DX","NS",2017,"Nintendo","Fighting",NA,NA,NA,NA,NA
2030,"The Elder Scrolls V: Skyrim","NS",2017,"Bethesda Softworks","Role-Playing",0.67,0.32,0.06,0.1,1.15
2035,"Dragon Quest VIII: Journey of the Cursed King","3DS",2017,"Nintendo","Role-Playing",0.14,0.11,0.88,0.02,1.15
2045,"Middle-Earth: Shadow of War","XOne",2017,"Warner Bros. Interactive Entertainment","Action",0.75,0.29,NA,0.11,1.15
2074,"LEGO Worlds","PS4",2017,"Warner Bros. Interactive Entertainment","Misc",0.21,0.72,0.04,0.17,1.14
2086,"The Elder Scrolls V: Skyrim VR","PS4",2017,"Bethesda Softworks","Role-Playing",0.47,0.47,0.01,0.19,1.13
2121,"LEGO Marvel Super Heroes 2","PS4",2017,"Warner Bros. Interactive Entertainment","Action",0.33,0.6,0,0.18,1.11
2153,"Kingdom Hearts HD I.5 + II.5 ReMIX","PS4",2017,"Square Enix","Role-Playing",NA,NA,NA,NA,NA
2166,"FIFA 18","NS",2017,"EA Sports","Sports",0.35,0.55,0.13,0.07,1.1
2288,"The Evil Within 2","PS4",2017,"Bethesda Softworks","Action",0.31,0.49,0.09,0.15,1.05
2305,"Prey (2017)","PS4",2017,"Bethesda Softworks","Shooter",0.25,0.62,0.02,0.16,1.04
